Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Decade,Sales_Category,NA_EU_Sales_Ratio,Is_Nintendo_Publisher,Log_Global_Sales,Dominant_Region
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,2000,Blockbuster,1.429211160868068,1,4.427716760590997,India
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,0.17,1980,Blockbuster,8.100278551532034,1,3.719408659148759,India
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,2000,Blockbuster,1.229635376260667,1,3.606041175804932,India
4,Wii Sports Resort,Wii,2007,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,2000,Blockbuster,1.429219600725953,1,3.526360524616161,India
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,1990,Blockbuster,1.266292134831461,1,3.477232067938153,India
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,1980,Blockbuster,10.22026431718062,1,3.442339324993331,India
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,2000,Blockbuster,1.231601731601732,1,3.434309733112357,India
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,2000,Blockbuster,1.523344191096634,1,3.401863826205316,India
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,2000,Blockbuster,2.063649222065064,1,3.388449808839653,India
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,1980,Blockbuster,42.078125,1,3.377928754722801,India
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,2000,Blockbuster,0.823796548592189,1,3.248822901236153,EU
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,2000,Blockbuster,1.294195250659631,1,3.195402468682559,India
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,1990,Blockbuster,1.453957996768982,1,3.182211840496609,India
14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,2000,Blockbuster,1.111940298507463,1,3.166318574129525,India
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,2000,Blockbuster,1.056976744186046,1,3.13549421592915,India
16,Kinect Adventures!,X360,2010,Fighting,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,2010,Blockbuster,3.024242424242424,0,3.127637344433929,India
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2010,Blockbuster,0.7553879310344828,0,3.109060958860994,EU
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,2000,Blockbuster,23.0,0,3.082368580213537,Other
19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,1990,Blockbuster,3.398936170212766,1,3.073156170518794,India
20,Brain Age: Train Your Brain in Minutes a Day,DS,2007,Misc,Nintendo,0.26516202676136724,9.26,4.16,2.05,20.22,2000,Blockbuster,0.5124056094929882,1,3.054944133185837,EU
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,2000,Blockbuster,1.417218543046358,1,2.963209081848431,India
22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,1980,Blockbuster,3.981617647058824,1,2.951780386024808,India
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,1980,Blockbuster,2.765217391304348,1,2.905807566026004,India
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,2010,Blockbuster,1.81015037593985,0,2.855320119837246,India
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,2000,Blockbuster,1.529090909090909,0,2.841998173611949,India
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,2000,Blockbuster,1.549872122762148,1,2.824350656798371,India
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,2010,Blockbuster,1.693009118541034,1,2.792391349535961,JP
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,2000,Blockbuster,0.6405959031657356,1,2.791165107812716,EU
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,2000,Blockbuster,1.343137254901961,0,2.771337940338129,India
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,2010,Blockbuster,2.104895104895105,0,2.757475084429733,India
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,1990,Blockbuster,1.166336633663366,1,2.749831735117165,India
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,2010,Blockbuster,2.585561497326204,0,2.749831735117165,India
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,2010,Blockbuster,63.66995073891626,1,2.731115474033206,India
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,2010,Blockbuster,0.9914089347079038,0,2.7239235502585,EU
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,2010,Blockbuster,0.8471986417657047,0,2.710048203764883,EU
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,2010,Blockbuster,1.91415313225058,0,2.689886230474539,India
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,2000,Blockbuster,2.340659340659341,0,2.674838066896096,India
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,2010,Blockbuster,0.9502572898799314,0,2.671386216730618,EU
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,2000,Blockbuster,1.546460176991151,0,2.646174797384123,India
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,2000,Blockbuster,2.576335877862596,1,2.641910398597665,India
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,2010,Blockbuster,1.343820224719101,0,2.61958321977988,India
42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,2000,Blockbuster,0.7223796033994334,1,2.585505848344116,JP
43,Mario Kart 7,3DS,2011,Racing,Nintendo,0.26516202676136724,3.91,2.67,0.89,12.21,2010,Blockbuster,1.209183673469388,1,2.580974118534234,India
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,2000,Blockbuster,2.806338028169014,0,2.575661013056465,India
45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,0.26516202676136724,5.81,0.36,2.02,11.98,2010,Blockbuster,0.6529209621993127,0,2.563409711275944,EU
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,2000,Blockbuster,1.58273381294964,1,2.557227311367626,India
47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,1990,Blockbuster,2.416083916083916,1,2.556451816951096,India
48,Gran Turismo 4,PS2,2007,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,2000,Blockbuster,150.5,0,2.53844741671603,Other
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,2000,Blockbuster,1.806451612903226,1,2.527327365671952,India
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,2010,Blockbuster,1.251479289940828,1,2.512035317176253,India
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,1990,Blockbuster,3.004878048780488,1,2.499795262281751,India
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,2000,Blockbuster,2.173633440514469,0,2.486571929107061,India
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,1990,Blockbuster,1.036082474226804,0,2.48073127837752,India
54,Super Mario 3D Land,3DS,2011,Fighting,Nintendo,4.89,2.99,2.13,0.78,10.79,2010,Blockbuster,1.63,1,2.467251714549279,India
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,2010,Blockbuster,0.6053169734151329,0,2.465553921272185,EU
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,2000,Blockbuster,1.348648648648649,0,2.458733775483977,India
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,2000,Blockbuster,1.262599469496021,0,2.448415541205585,India
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,1990,Blockbuster,2.773148148148149,1,2.446685436967802,India
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,2000,Blockbuster,1.631578947368421,1,2.441477091860664,India
60,Super Mario 64,DS,2007,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,2000,Blockbuster,1.628205128205128,1,2.435366204227864,India
61,Just Dance 3,Wii,2011,Misc,Unknown,6.05,3.15,0.0,1.07,10.26,2010,Blockbuster,1.914556962025317,0,2.421256622711544,India
62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,2010,Blockbuster,2.545454545454546,0,2.416806237084069,India
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,2010,High,3.532663316582915,0,2.386926241427797,India
64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,0.17,1990,High,2.846153846153846,1,2.386006701133118,India
65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,2010,High,1.188311688311688,1,2.381396273418336,India
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,2010,High,2.79746835443038,0,2.375835554733638,India
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,1990,High,1.213709677419355,0,2.372111155642656,JP
